,user,step,createdAt,question,result,topic,ageGroup,uniqueQuestionID,type,feature
142,123c90fc,16,2019-06-05 12:55:10.780000+00:00,A_E_M_O,wrong,animals,8-10,A_E_M_O_INTRO,INTRO,orientation
143,123c90fc,17,2019-06-05 12:55:19.964000+00:00,A_E_M_C,correct,animals,8-10,A_E_M_C_INTRO,INTRO,color
144,123c90fc,18,2019-06-05 12:55:22.913000+00:00,A_H_F_CT,type,animals,8-10,A_H_F_CT_CORE,CORE,dual
145,123c90fc,19,2019-06-05 12:55:26.703000+00:00,A_H_F_OT,type,animals,8-10,A_H_F_OT_CORE,CORE,dual
146,123c90fc,20,2019-06-05 12:55:29.380000+00:00,A_H_F_CO,orientation,animals,8-10,A_H_F_CO_CORE,CORE,dual
147,123c90fc,21,2019-06-05 12:55:32.853000+00:00,C_H_F_CO,orientation,cards,8-10,C_H_F_CO_CORE,CORE,dual
148,123c90fc,22,2019-06-05 12:55:37.414000+00:00,C_H_F_CT,type,cards,8-10,C_H_F_CT_CORE,CORE,dual
149,123c90fc,23,2019-06-05 12:55:42.666000+00:00,C_H_F_OT,orientation,cards,8-10,C_H_F_OT_CORE,CORE,dual
150,123c90fc,24,2019-06-05 12:55:52.548000+00:00,G_H_F_OT,orientation,geometry,8-10,G_H_F_OT_CORE,CORE,dual
151,123c90fc,25,2019-06-05 12:55:57.260000+00:00,G_H_F_CO,orientation,geometry,8-10,G_H_F_CO_CORE,CORE,dual
152,123c90fc,26,2019-06-05 12:56:00.299000+00:00,G_H_F_CT,type,geometry,8-10,G_H_F_CT_CORE,CORE,dual
153,123c90fc,27,2019-06-05 12:56:02.864000+00:00,G_H_M_OT,orientation,geometry,8-10,G_H_M_OT_CORE,CORE,dual
154,123c90fc,28,2019-06-05 12:56:05.400000+00:00,G_H_M_CO,color,geometry,8-10,G_H_M_CO_CORE,CORE,dual
155,123c90fc,29,2019-06-05 12:56:09.834000+00:00,G_H_M_CT,type,geometry,8-10,G_H_M_CT_CORE,CORE,dual
156,123c90fc,30,2019-06-05 12:56:12.735000+00:00,C_H_M_CO,orientation,cards,8-10,C_H_M_CO_CORE,CORE,dual
157,123c90fc,31,2019-06-05 12:56:15.701000+00:00,C_H_M_CT,type,cards,8-10,C_H_M_CT_CORE,CORE,dual
158,123c90fc,32,2019-06-05 12:56:18.250000+00:00,C_H_M_OT,type,cards,8-10,C_H_M_OT_CORE,CORE,dual
159,123c90fc,33,2019-06-05 12:56:24.819000+00:00,A_H_M_CT,type,animals,8-10,A_H_M_CT_CORE,CORE,dual
160,123c90fc,34,2019-06-05 12:56:40.019000+00:00,A_H_M_OT,type,animals,8-10,A_H_M_OT_CORE,CORE,dual
161,123c90fc,35,2019-06-05 12:56:42.733000+00:00,A_H_M_CO,color,animals,8-10,A_H_M_CO_CORE,CORE,dual
162,123c90fc,36,2019-06-05 12:56:46.270000+00:00,G_H_F_OT,orientation,geometry,8-10,G_H_F_OT_TRIK,TRIK,dual
163,123c90fc,37,2019-06-05 12:56:52.919000+00:00,G_H_M_OT,orientation,geometry,8-10,G_H_M_OT_FLEX,FLEX,dual
164,123c90fc,38,2019-06-05 12:56:55.874000+00:00,C_H_F_CO,orientation,cards,8-10,C_H_F_CO_TRIK,TRIK,dual
165,123c90fc,39,2019-06-05 12:57:01.919000+00:00,C_H_M_CO,color,cards,8-10,C_H_M_CO_FLEX,FLEX,dual
166,123c90fc,40,2019-06-05 12:57:20.189000+00:00,A_H_F_CT,type,animals,8-10,A_H_F_CT_TRIK,TRIK,dual
167,123c90fc,41,2019-06-05 12:57:25.671000+00:00,A_H_M_CT,type,animals,8-10,A_H_M_CT_FLEX,FLEX,dual
168,123c90fc,42,2019-06-05 12:57:34.128000+00:00,G_H_F_OT,orientation,geometry,8-10,G_H_F_OT_DELY,DELY,dual
169,123c90fc,43,2019-06-05 12:57:38.488000+00:00,C_H_F_CO,orientation,cards,8-10,C_H_F_CO_DELY,DELY,dual
170,123c90fc,44,2019-06-05 12:57:41.122000+00:00,A_H_F_CT,type,animals,8-10,A_H_F_CT_DELY,DELY,dual
171,123c90fc,45,2019-06-05 12:57:44.171000+00:00,A_H_F_OT,type,animals,8-10,A_H_F_OT_TRIK,TRIK,dual
172,123c90fc,46,2019-06-05 12:57:53.954000+00:00,A_H_M_OT,type,animals,8-10,A_H_M_OT_FLEX,FLEX,dual
173,123c90fc,47,2019-06-05 12:57:55.756000+00:00,C_H_F_CT,type,cards,8-10,C_H_F_CT_TRIK,TRIK,dual
174,123c90fc,48,2019-06-05 12:58:02.308000+00:00,C_H_M_CT,type,cards,8-10,C_H_M_CT_FLEX,FLEX,dual
175,123c90fc,49,2019-06-05 12:58:05.655000+00:00,G_H_F_CO,orientation,geometry,8-10,G_H_F_CO_TRIK,TRIK,dual
176,123c90fc,50,2019-06-05 12:58:14.932000+00:00,G_H_M_CO,orientation,geometry,8-10,G_H_M_CO_FLEX,FLEX,dual
177,123c90fc,51,2019-06-05 12:58:32.676000+00:00,A_H_F_OT,type,animals,8-10,A_H_F_OT_DELY,DELY,dual
178,123c90fc,52,2019-06-05 12:58:34.791000+00:00,C_H_F_CT,type,cards,8-10,C_H_F_CT_DELY,DELY,dual
179,123c90fc,53,2019-06-05 12:58:37.556000+00:00,G_H_F_CO,orientation,geometry,8-10,G_H_F_CO_DELY,DELY,dual
180,123c90fc,54,2019-06-05 12:58:42.392000+00:00,C_H_F_OT,orientation,cards,8-10,C_H_F_OT_TRIK,TRIK,dual
181,123c90fc,55,2019-06-05 12:58:46.577000+00:00,C_H_M_OT,type,cards,8-10,C_H_M_OT_FLEX,FLEX,dual
182,123c90fc,56,2019-06-05 12:58:55.378000+00:00,G_H_F_CT,type,geometry,8-10,G_H_F_CT_TRIK,TRIK,dual
183,123c90fc,57,2019-06-05 12:59:01.912000+00:00,G_H_M_CT,type,geometry,8-10,G_H_M_CT_FLEX,FLEX,dual
184,123c90fc,58,2019-06-05 12:59:08.260000+00:00,A_H_F_CO,orientation,animals,8-10,A_H_F_CO_TRIK,TRIK,dual
185,123c90fc,59,2019-06-05 12:59:12.612000+00:00,A_H_M_CO,orientation,animals,8-10,A_H_M_CO_FLEX,FLEX,dual
186,123c90fc,60,2019-06-05 12:59:15.453000+00:00,C_H_F_OT,type,cards,8-10,C_H_F_OT_DELY,DELY,dual
187,123c90fc,61,2019-06-05 12:59:20.265000+00:00,G_H_F_CT,type,geometry,8-10,G_H_F_CT_DELY,DELY,dual
188,123c90fc,62,2019-06-05 12:59:25.013000+00:00,A_H_F_CO,orientation,animals,8-10,A_H_F_CO_DELY,DELY,dual
189,12460a06,0,2019-06-13 06:42:50.805000+00:00,C_E_F_T,wrong,cards,8-10,C_E_F_T_INTRO,INTRO,type
190,12460a06,1,2019-06-13 06:44:03.579000+00:00,C_E_F_C,correct,cards,8-10,C_E_F_C_INTRO,INTRO,color
191,12460a06,2,2019-06-13 06:44:13.163000+00:00,C_E_F_O,correct,cards,8-10,C_E_F_O_INTRO,INTRO,orientation
192,12460a06,3,2019-06-13 06:44:24.490000+00:00,A_E_F_T,wrong,animals,8-10,A_E_F_T_INTRO,INTRO,type
193,12460a06,4,2019-06-13 06:44:31.764000+00:00,A_E_F_O,wrong,animals,8-10,A_E_F_O_INTRO,INTRO,orientation
194,12460a06,5,2019-06-13 06:44:53.257000+00:00,A_E_F_C,wrong,animals,8-10,A_E_F_C_INTRO,INTRO,color
195,12460a06,6,2019-06-13 06:45:02.034000+00:00,G_E_F_C,correct,geometry,8-10,G_E_F_C_INTRO,INTRO,color
196,12460a06,7,2019-06-13 06:45:05.339000+00:00,G_E_F_T,correct,geometry,8-10,G_E_F_T_INTRO,INTRO,type
197,12460a06,8,2019-06-13 06:45:08.590000+00:00,G_E_F_O,correct,geometry,8-10,G_E_F_O_INTRO,INTRO,orientation
